"disease_id","id","name"
"A41","A41.0","Sepsis due to Staphylococcus aureus"
"A41","A41.1","Sepsis due to other specified staphylococcus"
"A41","A41.2","Sepsis due to unspecified staphylococcus"
"A41","A41.3","Sepsis due to Haemophilus influenzae"
"A41","A41.4","Sepsis due to anaerobes"
"A41","A41.5","Sepsis due to other Gram-negative organisms"
"A41","A41.8","Other specified sepsis"
"A41","A41.9","Sepsis, unspecified"
"A42","A42.0","Pulmonary actinomycosis"
"A42","A42.1","Abdominal actinomycosis"
"A42","A42.2","Cervicofacial actinomycosis"
"A42","A42.7","Actinomycotic sepsis"
"A42","A42.8","Other forms of actinomycosis"
"A42","A42.9","Actinomycosis, unspecified"
"A43","A43.0","Pulmonary nocardiosis"
"A43","A43.1","Cutaneous nocardiosis"
"A43","A43.8","Other forms of nocardiosis"
"A43","A43.9","Nocardiosis, unspecified"
"A44","A44.0","Systemic bartonellosis"
"A44","A44.1","Cutaneous and mucocutaneous bartonellosis"
"A44","A44.8","Other forms of bartonellosis"
"A44","A44.9","Bartonellosis, unspecified"
"A48","A48.0","Gas gangrene"
"A48","A48.1","Legionnaires disease"
"A48","A48.2","Nonpneumonic Legionnaires disease [Pontiac fever]"
"A48","A48.3","Toxic shock syndrome"
"A48","A48.4","Brazilian purpuric fever"
"A48","A48.8","Other specified bacterial diseases"
"A49","A49.0","Staphylococcal infection, unspecified site"
"A49","A49.1","Streptococcal and enterococcal infection, unspecified site"
"A49","A49.2","Haemophilus influenzae infection, unspecified site"
"A49","A49.3","Mycoplasma infection, unspecified site"
"A49","A49.8","Other bacterial infections of unspecified site"
"A49","A49.9","Bacterial infection, unspecified"
"A50","A50.0","Early congenital syphilis, symptomatic"
"A50","A50.1","Early congenital syphilis, latent"
"A50","A50.2","Early congenital syphilis, unspecified"
"A50","A50.3","Late congenital syphilitic oculopathy"
"A50","A50.4","Late congenital neurosyphilis [juvenile neurosyphilis]"
"A50","A50.5","Other late congenital syphilis, symptomatic"
"A50","A50.6","Late congenital syphilis, latent"
"A50","A50.7","Late congenital syphilis, unspecified"
"A50","A50.9","Congenital syphilis, unspecified"
"A51","A51.0","Primary genital syphilis"
"A51","A51.1","Primary anal syphilis"
"A51","A51.2","Primary syphilis of other sites"
"A51","A51.3","Secondary syphilis of skin and mucous membranes"
"A51","A51.4","Other secondary syphilis"
"A51","A51.5","Early syphilis, latent"
"A51","A51.9","Early syphilis, unspecified"
"A52","A52.0","Cardiovascular syphilis"
"A52","A52.1","Symptomatic neurosyphilis"
"A52","A52.2","Asymptomatic neurosyphilis"
"A52","A52.3","Neurosyphilis, unspecified"
"A52","A52.7","Other symptomatic late syphilis"
"A52","A52.8","Late syphilis, latent"
"A52","A52.9","Late syphilis, unspecified"
"A53","A53.0","Latent syphilis, unspecified as early or late"
"A53","A53.9","Syphilis, unspecified"
"A54","A54.0","Gonococcal infection of lower genitourinary tract without periurethral or accessory gland abscess"
"A54","A54.1","Gonococcal infection of lower genitourinary tract with periurethral and accessory gland abscess"
"A54","A54.2","Gonococcal pelviperitonitis and other gonococcal genitourinary infections"
"A54","A54.3","Gonococcal infection of eye"
"A54","A54.4","Gonococcal infection of musculoskeletal system"
"A54","A54.5","Gonococcal pharyngitis"
"A54","A54.6","Gonococcal infection of anus and rectum"
"A54","A54.8","Other gonococcal infections"
"A54","A54.9","Gonococcal infection, unspecified"
"A56","A56.0","Chlamydial infection of lower genitourinary tract"
"A56","A56.1","Chlamydial infection of pelviperitoneum and other genitourinary organs"
"A56","A56.2","Chlamydial infection of genitourinary tract, unspecified"
"A56","A56.3","Chlamydial infection of anus and rectum"
"A56","A56.4","Chlamydial infection of pharynx"
"A56","A56.8","Sexually transmitted chlamydial infection of other sites"
"A59","A59.0","Urogenital trichomoniasis"
"A59","A59.8","Trichomoniasis of other sites"
"A59","A59.9","Trichomoniasis, unspecified"
"A60","A60.0","Herpesviral infection of genitalia and urogenital tract"
"A60","A60.1","Herpesviral infection of perianal skin and rectum"
"A60","A60.9","Anogenital herpesviral infection, unspecified"
"A63","A63.0","Anogenital (venereal) warts"
"A63","A63.8","Other specified predominantly sexually transmitted diseases"
"A66","A66.0","Initial lesions of yaws"
"A66","A66.1","Multiple papillomata and wet crab yaws"
"A66","A66.2","Other early skin lesions of yaws"
"A66","A66.3","Hyperkeratosis of yaws"
"A66","A66.4","Gummata and ulcers of yaws"
"A66","A66.5","Gangosa"
"A66","A66.6","Bone and joint lesions of yaws"
"A66","A66.7","Other manifestations of yaws"
"A66","A66.8","Latent yaws"
"A66","A66.9","Yaws, unspecified"
"A67","A67.0","Primary lesions of pinta"
"A67","A67.1","Intermediate lesions of pinta"
"A67","A67.2","Late lesions of pinta"
"A67","A67.3","Mixed lesions of pinta"
"A67","A67.9","Pinta, unspecified"
"A68","A68.0","Louse-borne relapsing fever"
"A68","A68.1","Tick-borne relapsing fever"
"A68","A68.9","Relapsing fever, unspecified"
"A69","A69.0","Necrotizing ulcerative stomatitis"
"A69","A69.1","Other Vincent infections"
"A69","A69.2","Lyme disease"
"A69","A69.8","Other specified spirochaetal infections"
"A69","A69.9","Spirochaetal infection, unspecified"
"A71","A71.0","Initial stage of trachoma"
"A71","A71.1","Active stage of trachoma"
"A71","A71.9","Trachoma, unspecified"
"A74","A74.0","Chlamydial conjunctivitis"
"A74","A74.8","Other chlamydial diseases"
"A74","A74.9","Chlamydial infection, unspecified"
"A75","A75.0","Epidemic louse-borne typhus fever due to Rickettsia prowazekii"
"A75","A75.1","Recrudescent typhus [Brill disease]"
"A75","A75.2","Typhus fever due to Rickettsia typhi"
"A75","A75.3","Typhus fever due to Rickettsia tsutsugamushi"
"A75","A75.9","Typhus fever, unspecified"
"A77","A77.0","Spotted fever due to Rickettsia rickettsii"
"A77","A77.1","Spotted fever due to Rickettsia conorii"
"A77","A77.2","Spotted fever due to Rickettsia sibirica"
"A77","A77.3","Spotted fever due to Rickettsia australis"
"A77","A77.8","Other spotted fevers"
"A77","A77.9","Spotted fever, unspecified"
"A79","A79.0","Trench fever"
"A79","A79.1","Rickettsialpox due to Rickettsia akari"
"A79","A79.8","Other specified rickettsioses"
"A79","A79.9","Rickettsiosis, unspecified"
"A80","A80.0","Acute paralytic poliomyelitis, vaccine-associated"
"A80","A80.1","Acute paralytic poliomyelitis, wild virus, imported"
"A80","A80.2","Acute paralytic poliomyelitis, wild virus, indigenous"
"A80","A80.3","Acute paralytic poliomyelitis, other and unspecified"
"A80","A80.4","Acute nonparalytic poliomyelitis"
"A80","A80.9","Acute poliomyelitis, unspecified"
"A81","A81.0","Creutzfeldt-Jakob disease"
"A81","A81.1","Subacute sclerosing panencephalitis"
"A81","A81.2","Progressive multifocal leukoencephalopathy"
"A81","A81.8","Other atypical virus infections of central nervous system"
"A81","A81.9","Atypical virus infection of central nervous system, unspecified"
"A82","A82.0","Sylvatic rabies"
"A82","A82.1","Urban rabies"
"A82","A82.9","Rabies, unspecified"
"A83","A83.0","Japanese encephalitis"
"A83","A83.1","Western equine encephalitis"
"A83","A83.2","Eastern equine encephalitis"
"A83","A83.3","St Louis encephalitis"
"A83","A83.4","Australian encephalitis"
"A83","A83.5","California encephalitis"
"A83","A83.6","Rocio virus disease"
"A83","A83.8","Other mosquito-borne viral encephalitis"
"A83","A83.9","Mosquito-borne viral encephalitis, unspecified"
"A84","A84.0","Far Eastern tick-borne encephalitis [Russian spring-summer encephalitis]"
"A84","A84.1","Central European tick-borne encephalitis"
"A84","A84.8","Other tick-borne viral encephalitis"
"A84","A84.9","Tick-borne viral encephalitis, unspecified"
"A85","A85.0","Enteroviral encephalitis"
"A85","A85.1","Adenoviral encephalitis"
"A85","A85.2","Arthropod-borne viral encephalitis, unspecified"
"A85","A85.8","Other specified viral encephalitis"
"A87","A87.0","Enteroviral meningitis"
"A87","A87.1","Adenoviral meningitis"
"A87","A87.2","Lymphocytic choriomeningitis"
"A87","A87.8","Other viral meningitis"
"A87","A87.9","Viral meningitis, unspecified"
"A88","A88.0","Enteroviral exanthematous fever [Boston exanthem]"
"A88","A88.1","Epidemic vertigo"
"A88","A88.8","Other specified viral infections of central nervous system"
"A92","A92.0","Chikungunya virus disease"
"A92","A92.1","O'nyong-nyong fever"
"A92","A92.2","Venezuelan equine fever"
"A92","A92.3","West Nile virus infection"
"A92","A92.4","Rift Valley fever"
"A92","A92.5","Zika virus disease"
"A92","A92.8","Other specified mosquito-borne viral fevers"
"A92","A92.9","Mosquito-borne viral fever, unspecified"
"A93","A93.0","Oropouche virus disease"
"A93","A93.1","Sandfly fever"
"A93","A93.2","Colorado tick fever"
"A93","A93.8","Other specified arthropod-borne viral fevers"
"A95","A95.0","Sylvatic yellow fever"
"A95","A95.1","Urban yellow fever"
"A95","A95.9","Yellow fever, unspecified"
"A96","A96.0","Junin haemorrhagic fever"
"A96","A96.1","Machupo haemorrhagic fever"
"A96","A96.2","Lassa fever"
"A96","A96.8","Other arenaviral haemorrhagic fevers"
"A96","A96.9","Arenaviral haemorrhagic fever, unspecified"
"A97","A97.0","Dengue without warning signs"
"A97","A97.1","Dengue with warning signs"
"A97","A97.2","Severe Dengue"
"A97","A97.9","Dengue, unspecified"
"A98","A98.0","Crimean-Congo haemorrhagic fever"
"A98","A98.1","Omsk haemorrhagic fever"
"A98","A98.2","Kyasanur Forest disease"
"A98","A98.3","Marburg virus disease"
"A98","A98.4","Ebola virus disease"
"A98","A98.5","Haemorrhagic fever with renal syndrome"
"A98","A98.8","Other specified viral haemorrhagic fevers"
"B00","B00.0","Eczema herpeticum"
"B00","B00.1","Herpesviral vesicular dermatitis"
"B00","B00.2","Herpesviral gingivostomatitis and pharyngotonsillitis"
"B00","B00.3","Herpesviral meningitis"
"B00","B00.4","Herpesviral encephalitis"
"B00","B00.5","Herpesviral ocular disease"
"B00","B00.7","Disseminated herpesviral disease"
"B00","B00.8","Other forms of herpesviral infection"
"B00","B00.9","Herpesviral infection, unspecified"
"B01","B01.0","Varicella meningitis"
"B01","B01.1","Varicella encephalitis"
"B01","B01.2","Varicella pneumonia"
"B01","B01.8","Varicella with other complications"
"B01","B01.9","Varicella without complication"
"B02","B02.0","Zoster encephalitis"
"B02","B02.1","Zoster meningitis"
"B02","B02.2","Zoster with other nervous system involvement"
"B02","B02.3","Zoster ocular disease"
"B02","B02.7","Disseminated zoster"
"B02","B02.8","Zoster with other complications"
"B02","B02.9","Zoster without complication"
"B05","B05.0","Measles complicated by encephalitis"
"B05","B05.1","Measles complicated by meningitis"
"B05","B05.2","Measles complicated by pneumonia"
"B05","B05.3","Measles complicated by otitis media"
"B05","B05.4","Measles with intestinal complications"
"B05","B05.8","Measles with other complications"
"B05","B05.9","Measles without complication"
"B06","B06.0","Rubella with neurological complications"
"B06","B06.8","Rubella with other complications"
"B06","B06.9","Rubella without complication"
"B08","B08.0","Other orthopoxvirus infections"
"B08","B08.1","Molluscum contagiosum"
"B08","B08.2","Exanthema subitum [sixth disease]"
"B08","B08.3","Erythema infectiosum [fifth disease]"
"B08","B08.4","Enteroviral vesicular stomatitis with exanthem"
"B08","B08.5","Enteroviral vesicular pharyngitis"
"B08","B08.8","Other specified viral infections characterized by skin and mucous membrane lesions"
"B15","B15.0","Hepatitis A with hepatic coma"
"B15","B15.9","Hepatitis A without hepatic coma"
"B16","B16.0","Acute hepatitis B with delta-agent (coinfection) with hepatic coma"
"B16","B16.1","Acute hepatitis B with delta-agent (coinfection) without hepatic coma"
"B16","B16.2","Acute hepatitis B without delta-agent with hepatic coma"
"B16","B16.9","Acute hepatitis B without delta-agent and without hepatic coma"
"B17","B17.0","Acute delta-(super)infection in chronic hepatitis B"
"B17","B17.1","Acute hepatitis C"
"B17","B17.2","Acute hepatitis E"
"B17","B17.8","Other specified acute viral hepatitis"
"B17","B17.9","Acute viral hepatitis, unspecified"
"B18","B18.0","Chronic viral hepatitis B with delta-agent"
"B18","B18.1","Chronic viral hepatitis B without delta-agent"
"B18","B18.2","Chronic viral hepatitis C"
"B18","B18.8","Other chronic viral hepatitis"
"B18","B18.9","Chronic viral hepatitis, unspecified"
"B19","B19.0","Unspecified viral hepatitis with hepatic coma"
"B19","B19.9","Unspecified viral hepatitis without hepatic coma"
"B20","B20.0","HIV disease resulting in mycobacterial infection"
"B20","B20.1","HIV disease resulting in other bacterial infections"
"B20","B20.2","HIV disease resulting in cytomegaloviral disease"
"B20","B20.3","HIV disease resulting in other viral infections"
"B20","B20.4","HIV disease resulting in candidiasis"
"B20","B20.5","HIV disease resulting in other mycoses"
"B20","B20.6","HIV disease resulting in Pneumocystis jirovecii pneumonia"
"B20","B20.7","HIV disease resulting in multiple infections"
"B20","B20.8","HIV disease resulting in other infectious and parasitic diseases"
"B20","B20.9","HIV disease resulting in unspecified infectious or parasitic disease"
"B21","B21.0","HIV disease resulting in Kaposi sarcoma"
"B21","B21.1","HIV disease resulting in Burkitt lymphoma"
"B21","B21.2","HIV disease resulting in other types of non-Hodgkin lymphoma"
"B21","B21.3","HIV disease resulting in other malignant neoplasms of lymphoid, haematopoietic and related tissue"
"B21","B21.7","HIV disease resulting in multiple malignant neoplasms"
"B21","B21.8","HIV disease resulting in other malignant neoplasms"
"B21","B21.9","HIV disease resulting in unspecified malignant neoplasm"
"B22","B22.0","HIV disease resulting in encephalopathy"
"B22","B22.1","HIV disease resulting in lymphoid interstitial pneumonitis"
"B22","B22.2","HIV disease resulting in wasting syndrome"
"B22","B22.7","HIV disease resulting in multiple diseases classified elsewhere"
"B23","B23.0","Acute HIV infection syndrome"
"B23","B23.1","HIV disease resulting in (persistent) generalized lymphadenopathy"
"B23","B23.2","HIV disease resulting in haematological and immunological abnormalities, not elsewhere classified"
"B23","B23.8","HIV disease resulting in other specified conditions"
"B25","B25.0","Cytomegaloviral pneumonitis"
"B25","B25.1","Cytomegaloviral hepatitis"
"B25","B25.2","Cytomegaloviral pancreatitis"
"B25","B25.8","Other cytomegaloviral diseases"
"B25","B25.9","Cytomegaloviral disease, unspecified"
"B26","B26.0","Mumps orchitis"
"B26","B26.1","Mumps meningitis"
"B26","B26.2","Mumps encephalitis"
"B26","B26.3","Mumps pancreatitis"
"B26","B26.8","Mumps with other complications"
"B26","B26.9","Mumps without complication"
"B27","B27.0","Gammaherpesviral mononucleosis"
"B27","B27.1","Cytomegaloviral mononucleosis"
"B27","B27.8","Other infectious mononucleosis"
"B27","B27.9","Infectious mononucleosis, unspecified"
"B30","B30.0","Keratoconjunctivitis due to adenovirus"
"B30","B30.1","Conjunctivitis due to adenovirus"
"B30","B30.2","Viral pharyngoconjunctivitis"
"B30","B30.3","Acute epidemic haemorrhagic conjunctivitis (enteroviral)"
"B30","B30.8","Other viral conjunctivitis"
"B30","B30.9","Viral conjunctivitis, unspecified"
"B33","B33.0","Epidemic myalgia"
"B33","B33.1","Ross River disease"
"B33","B33.2","Viral carditis"
"B33","B33.3","Retrovirus infections, not elsewhere classified"
"B33","B33.4","Hantavirus (cardio-)pulmonary syndrome [HPS] [HCPS]"
"B33","B33.8","Other specified viral diseases"
"B34","B34.0","Adenovirus infection, unspecified site"
"B34","B34.1","Enterovirus infection, unspecified site"
"B34","B34.2","Coronavirus infection, unspecified site"
"B34","B34.3","Parvovirus infection, unspecified site"
"B34","B34.4","Papovavirus infection, unspecified site"
"B34","B34.8","Other viral infections of unspecified site"
"B34","B34.9","Viral infection, unspecified"
"B35","B35.0","Tinea barbae and tinea capitis"
"B35","B35.1","Tinea unguium"
"B35","B35.2","Tinea manuum"
"B35","B35.3","Tinea pedis"
"B35","B35.4","Tinea corporis"
"B35","B35.5","Tinea imbricata"
"B35","B35.6","Tinea inguinalis [Tinea cruris]"
"B35","B35.8","Other dermatophytoses"
"B35","B35.9","Dermatophytosis, unspecified"
"B36","B36.0","Pityriasis versicolor"
"B36","B36.1","Tinea nigra"
"B36","B36.2","White piedra"
"B36","B36.3","Black piedra"
"B36","B36.8","Other specified superficial mycoses"
"B36","B36.9","Superficial mycosis, unspecified"
"B37","B37.0","Candidal stomatitis"
"B37","B37.1","Pulmonary candidiasis"
"B37","B37.2","Candidiasis of skin and nail"
"B37","B37.3","Candidiasis of vulva and vagina"
"B37","B37.4","Candidiasis of other urogenital sites"
"B37","B37.5","Candidal meningitis"
"B37","B37.6","Candidal endocarditis"
"B37","B37.7","Candidal sepsis"
"B37","B37.8","Candidiasis of other sites"
"B37","B37.9","Candidiasis, unspecified"
"B38","B38.0","Acute pulmonary coccidioidomycosis"
"B38","B38.1","Chronic pulmonary coccidioidomycosis"
"B38","B38.2","Pulmonary coccidioidomycosis, unspecified"
"B38","B38.3","Cutaneous coccidioidomycosis"
"B38","B38.4","Coccidioidomycosis meningitis"
"B38","B38.7","Disseminated coccidioidomycosis"
"B38","B38.8","Other forms of coccidioidomycosis"
"B38","B38.9","Coccidioidomycosis, unspecified"
"B39","B39.0","Acute pulmonary histoplasmosis capsulati"
"B39","B39.1","Chronic pulmonary histoplasmosis capsulati"
"B39","B39.2","Pulmonary histoplasmosis capsulati, unspecified"
"B39","B39.3","Disseminated histoplasmosis capsulati"
"B39","B39.4","Histoplasmosis capsulati, unspecified"
"B39","B39.5","Histoplasmosis duboisii"
"B39","B39.9","Histoplasmosis, unspecified"
"B40","B40.0","Acute pulmonary blastomycosis"
"B40","B40.1","Chronic pulmonary blastomycosis"
"B40","B40.2","Pulmonary blastomycosis, unspecified"
"B40","B40.3","Cutaneous blastomycosis"
"B40","B40.7","Disseminated blastomycosis"
"B40","B40.8","Other forms of blastomycosis"
"B40","B40.9","Blastomycosis, unspecified"
"B41","B41.0","Pulmonary paracoccidioidomycosis"
"B41","B41.7","Disseminated paracoccidioidomycosis"
"B41","B41.8","Other forms of paracoccidioidomycosis"
"B41","B41.9","Paracoccidioidomycosis, unspecified"
"B42","B42.0","Pulmonary sporotrichosis"
"B42","B42.1","Lymphocutaneous sporotrichosis"
"B42","B42.7","Disseminated sporotrichosis"
"B42","B42.8","Other forms of sporotrichosis"
"B42","B42.9","Sporotrichosis, unspecified"
"B43","B43.0","Cutaneous chromomycosis"
"B43","B43.1","Phaeomycotic brain abscess"
"B43","B43.2","Subcutaneous phaeomycotic abscess and cyst"
"B43","B43.8","Other forms of chromomycosis"
"B43","B43.9","Chromomycosis, unspecified"
"B44","B44.0","Invasive pulmonary aspergillosis"
"B44","B44.1","Other pulmonary aspergillosis"
"B44","B44.2","Tonsillar aspergillosis"
"B44","B44.7","Disseminated aspergillosis"
"B44","B44.8","Other forms of aspergillosis"
"B44","B44.9","Aspergillosis, unspecified"
