"parent_block_id_1","parent_block_id_2","parent_block_id_3","id","name"
"B25-B34",,,"B27","Infectious mononucleosis"
"B25-B34",,,"B30","Viral conjunctivitis"
"B25-B34",,,"B33","Other viral diseases, not elsewhere classified"
"B25-B34",,,"B34","Viral infection of unspecified site"
"B35-B49",,,"B35","Dermatophytosis"
"B35-B49",,,"B36","Other superficial mycoses"
"B35-B49",,,"B37","Candidiasis"
"B35-B49",,,"B38","Coccidioidomycosis"
"B35-B49",,,"B39","Histoplasmosis"
"B35-B49",,,"B40","Blastomycosis"
"B35-B49",,,"B41","Paracoccidioidomycosis"
"B35-B49",,,"B42","Sporotrichosis"
"B35-B49",,,"B43","Chromomycosis and phaeomycotic abscess"
"B35-B49",,,"B44","Aspergillosis"
"B35-B49",,,"B45","Cryptococcosis"
"B35-B49",,,"B46","Zygomycosis"
"B35-B49",,,"B47","Mycetoma"
"B35-B49",,,"B48","Other mycoses, not elsewhere classified"
"B35-B49",,,"B49","Unspecified mycosis"
"B50-B64",,,"B50","Plasmodium falciparum malaria"
"B50-B64",,,"B51","Plasmodium vivax malaria"
"B50-B64",,,"B52","Plasmodium malariae malaria"
"B50-B64",,,"B53","Other parasitologically confirmed malaria"
"B50-B64",,,"B54","Unspecified malaria"
"B50-B64",,,"B55","Leishmaniasis"
"B50-B64",,,"B56","African trypanosomiasis"
"B50-B64",,,"B57","Chagas disease"
"B50-B64",,,"B58","Toxoplasmosis"
"B50-B64",,,"B60","Other protozoal diseases, not elsewhere classified"
"B50-B64",,,"B64","Unspecified protozoal disease"
"B65-B83",,,"B65","Schistosomiasis [bilharziasis]"
"B65-B83",,,"B66","Other fluke infections"
"B65-B83",,,"B67","Echinococcosis"
"B65-B83",,,"B68","Taeniasis"
"B65-B83",,,"B69","Cysticercosis"
"B65-B83",,,"B70","Diphyllobothriasis and sparganosis"
"B65-B83",,,"B71","Other cestode infections"
"B65-B83",,,"B72","Dracunculiasis"
"B65-B83",,,"B73","Onchocerciasis"
"B65-B83",,,"B74","Filariasis"
"B65-B83",,,"B75","Trichinellosis"
"B65-B83",,,"B76","Hookworm diseases"
"B65-B83",,,"B77","Ascariasis"
"B65-B83",,,"B78","Strongyloidiasis"
"B65-B83",,,"B79","Trichuriasis"
"B65-B83",,,"B80","Enterobiasis"
"B65-B83",,,"B81","Other intestinal helminthiases, not elsewhere classified"
"B65-B83",,,"B82","Unspecified intestinal parasitism"
"B65-B83",,,"B83","Other helminthiases"
"B85-B89",,,"B85","Pediculosis and phthiriasis"
"B85-B89",,,"B86","Scabies"
"B85-B89",,,"B87","Myiasis"
"B85-B89",,,"B88","Other infestations"
"B85-B89",,,"B89","Unspecified parasitic disease"
"B90-B94",,,"B90","Sequelae of tuberculosis"
"B90-B94",,,"B91","Sequelae of poliomyelitis"
"B90-B94",,,"B92","Sequelae of leprosy"
"B90-B94",,,"B94","Sequelae of other and unspecified infectious and parasitic diseases"
"B95-B98",,,"B95","Streptococcus and staphylococcus as the cause of diseases classified to other chapters"
"B95-B98",,,"B96","Other specified bacterial agents as the cause of diseases classified to other chapters"
"B95-B98",,,"B97","Viral agents as the cause of diseases classified to other chapters"
"B95-B98",,,"B98","Other specified infectious agents as the cause of diseases classified to other chapters"
"B99-B99",,,"B99","Other and unspecified infectious diseases"
"C00-C14","C00-C75","C00-C97","C00","Malignant neoplasm of lip"
"C00-C14","C00-C75","C00-C97","C01","Malignant neoplasm of base of tongue"
"C00-C14","C00-C75","C00-C97","C02","Malignant neoplasm of other and unspecified parts of tongue"
"C00-C14","C00-C75","C00-C97","C03","Malignant neoplasm of gum"
"C00-C14","C00-C75","C00-C97","C04","Malignant neoplasm of floor of mouth"
"C00-C14","C00-C75","C00-C97","C05","Malignant neoplasm of palate"
"C00-C14","C00-C75","C00-C97","C06","Malignant neoplasm of other and unspecified parts of mouth"
"C00-C14","C00-C75","C00-C97","C07","Malignant neoplasm of parotid gland"
"C00-C14","C00-C75","C00-C97","C08","Malignant neoplasm of other and unspecified major salivary glands"
"C00-C14","C00-C75","C00-C97","C09","Malignant neoplasm of tonsil"
"C00-C14","C00-C75","C00-C97","C10","Malignant neoplasm of oropharynx"
"C00-C14","C00-C75","C00-C97","C11","Malignant neoplasm of nasopharynx"
"C00-C14","C00-C75","C00-C97","C12","Malignant neoplasm of piriform sinus"
"C00-C14","C00-C75","C00-C97","C13","Malignant neoplasm of hypopharynx"
"C00-C14","C00-C75","C00-C97","C14","Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx"
"C15-C26","C00-C75","C00-C97","C15","Malignant neoplasm of oesophagus"
"C15-C26","C00-C75","C00-C97","C16","Malignant neoplasm of stomach"
"C15-C26","C00-C75","C00-C97","C17","Malignant neoplasm of small intestine"
"C15-C26","C00-C75","C00-C97","C18","Malignant neoplasm of colon"
"C15-C26","C00-C75","C00-C97","C19","Malignant neoplasm of rectosigmoid junction"
"C15-C26","C00-C75","C00-C97","C20","Malignant neoplasm of rectum"
"C15-C26","C00-C75","C00-C97","C21","Malignant neoplasm of anus and anal canal"
"C15-C26","C00-C75","C00-C97","C22","Malignant neoplasm of liver and intrahepatic bile ducts"
"C15-C26","C00-C75","C00-C97","C23","Malignant neoplasm of gallbladder"
"C15-C26","C00-C75","C00-C97","C24","Malignant neoplasm of other and unspecified parts of biliary tract"
"C15-C26","C00-C75","C00-C97","C25","Malignant neoplasm of pancreas"
"C15-C26","C00-C75","C00-C97","C26","Malignant neoplasm of other and ill-defined digestive organs"
"C30-C39","C00-C75","C00-C97","C30","Malignant neoplasm of nasal cavity and middle ear"
"C30-C39","C00-C75","C00-C97","C31","Malignant neoplasm of accessory sinuses"
"C30-C39","C00-C75","C00-C97","C32","Malignant neoplasm of larynx"
"C30-C39","C00-C75","C00-C97","C33","Malignant neoplasm of trachea"
"C30-C39","C00-C75","C00-C97","C34","Malignant neoplasm of bronchus and lung"
"C30-C39","C00-C75","C00-C97","C37","Malignant neoplasm of thymus"
"C30-C39","C00-C75","C00-C97","C38","Malignant neoplasm of heart, mediastinum and pleura"
"C30-C39","C00-C75","C00-C97","C39","Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs"
"C40-C41","C00-C75","C00-C97","C40","Malignant neoplasm of bone and articular cartilage of limbs"
"C40-C41","C00-C75","C00-C97","C41","Malignant neoplasm of bone and articular cartilage of other and unspecified sites"
"C43-C44","C00-C75","C00-C97","C43","Malignant melanoma of skin"
"C43-C44","C00-C75","C00-C97","C44","Other malignant neoplasms of skin"
"C45-C49","C00-C75","C00-C97","C45","Mesothelioma"
"C45-C49","C00-C75","C00-C97","C46","Kaposi sarcoma"
"C45-C49","C00-C75","C00-C97","C47","Malignant neoplasm of peripheral nerves and autonomic nervous system"
"C45-C49","C00-C75","C00-C97","C48","Malignant neoplasm of retroperitoneum and peritoneum"
"C45-C49","C00-C75","C00-C97","C49","Malignant neoplasm of other connective and soft tissue"
"C50-C50","C00-C75","C00-C97","C50","Malignant neoplasm of breast"
"C51-C58","C00-C75","C00-C97","C51","Malignant neoplasm of vulva"
"C51-C58","C00-C75","C00-C97","C52","Malignant neoplasm of vagina"
"C51-C58","C00-C75","C00-C97","C53","Malignant neoplasm of cervix uteri"
"C51-C58","C00-C75","C00-C97","C54","Malignant neoplasm of corpus uteri"
"C51-C58","C00-C75","C00-C97","C55","Malignant neoplasm of uterus, part unspecified"
"C51-C58","C00-C75","C00-C97","C56","Malignant neoplasm of ovary"
"C51-C58","C00-C75","C00-C97","C57","Malignant neoplasm of other and unspecified female genital organs"
"C51-C58","C00-C75","C00-C97","C58","Malignant neoplasm of placenta"
"C60-C63","C00-C75","C00-C97","C60","Malignant neoplasm of penis"
"C60-C63","C00-C75","C00-C97","C61","Malignant neoplasm of prostate"
"C60-C63","C00-C75","C00-C97","C62","Malignant neoplasm of testis"
"C60-C63","C00-C75","C00-C97","C63","Malignant neoplasm of other and unspecified male genital organs"
"C64-C68","C00-C75","C00-C97","C64","Malignant neoplasm of kidney, except renal pelvis"
"C64-C68","C00-C75","C00-C97","C65","Malignant neoplasm of renal pelvis"
"C64-C68","C00-C75","C00-C97","C66","Malignant neoplasm of ureter"
"C64-C68","C00-C75","C00-C97","C67","Malignant neoplasm of bladder"
"C64-C68","C00-C75","C00-C97","C68","Malignant neoplasm of other and unspecified urinary organs"
"C69-C72","C00-C75","C00-C97","C69","Malignant neoplasm of eye and adnexa"
"C69-C72","C00-C75","C00-C97","C70","Malignant neoplasm of meninges"
"C69-C72","C00-C75","C00-C97","C71","Malignant neoplasm of brain"
"C69-C72","C00-C75","C00-C97","C72","Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system"
"C73-C75","C00-C75","C00-C97","C73","Malignant neoplasm of thyroid gland"
"C73-C75","C00-C75","C00-C97","C74","Malignant neoplasm of adrenal gland"
"C73-C75","C00-C75","C00-C97","C75","Malignant neoplasm of other endocrine glands and related structures"
"C76-C80","C00-C97",,"C76","Malignant neoplasm of other and ill-defined sites"
"C76-C80","C00-C97",,"C77","Secondary and unspecified malignant neoplasm of lymph nodes"
"C76-C80","C00-C97",,"C78","Secondary malignant neoplasm of respiratory and digestive organs"
"C76-C80","C00-C97",,"C79","Secondary malignant neoplasm of other and unspecified sites"
"C76-C80","C00-C97",,"C80","Malignant neoplasm, without specification of site"
"C81-C96","C00-C97",,"C81","Hodgkin lymphoma"
"C81-C96","C00-C97",,"C82","Follicular lymphoma"
"C81-C96","C00-C97",,"C83","Non-follicular lymphoma"
"C81-C96","C00-C97",,"C84","Mature T/NK-cell lymphomas"
"C81-C96","C00-C97",,"C85","Other and unspecified types of non-Hodgkin lymphoma"
"C81-C96","C00-C97",,"C86","Other specified types of T/NK-cell lymphoma"
"C81-C96","C00-C97",,"C88","Malignant immunoproliferative diseases"
"C81-C96","C00-C97",,"C90","Multiple myeloma and malignant plasma cell neoplasms"
"C81-C96","C00-C97",,"C91","Lymphoid leukaemia"
"C81-C96","C00-C97",,"C92","Myeloid leukaemia"
"C81-C96","C00-C97",,"C93","Monocytic leukaemia"
"C81-C96","C00-C97",,"C94","Other leukaemias of specified cell type"
"C81-C96","C00-C97",,"C95","Leukaemia of unspecified cell type"
"C81-C96","C00-C97",,"C96","Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue"
"C97-C97","C00-C97",,"C97","Malignant neoplasms of independent (primary) multiple sites"
"D00-D09",,,"D00","Carcinoma in situ of oral cavity, oesophagus and stomach"
"D00-D09",,,"D01","Carcinoma in situ of other and unspecified digestive organs"
"D00-D09",,,"D02","Carcinoma in situ of middle ear and respiratory system"
"D00-D09",,,"D03","Melanoma in situ"
"D00-D09",,,"D04","Carcinoma in situ of skin"
"D00-D09",,,"D05","Carcinoma in situ of breast"
"D00-D09",,,"D06","Carcinoma in situ of cervix uteri"
"D00-D09",,,"D07","Carcinoma in situ of other and unspecified genital organs"
"D00-D09",,,"D09","Carcinoma in situ of other and unspecified sites"
"D10-D36",,,"D10","Benign neoplasm of mouth and pharynx"
"D10-D36",,,"D11","Benign neoplasm of major salivary glands"
"D10-D36",,,"D12","Benign neoplasm of colon, rectum, anus and anal canal"
"D10-D36",,,"D13","Benign neoplasm of other and ill-defined parts of digestive system"
"D10-D36",,,"D14","Benign neoplasm of middle ear and respiratory system"
"D10-D36",,,"D15","Benign neoplasm of other and unspecified intrathoracic organs"
"D10-D36",,,"D16","Benign neoplasm of bone and articular cartilage"
"D10-D36",,,"D17","Benign lipomatous neoplasm"
"D10-D36",,,"D18","Haemangioma and lymphangioma, any site"
"D10-D36",,,"D19","Benign neoplasm of mesothelial tissue"
"D10-D36",,,"D20","Benign neoplasm of soft tissue of retroperitoneum and peritoneum"
"D10-D36",,,"D21","Other benign neoplasms of connective and other soft tissue"
"D10-D36",,,"D22","Melanocytic naevi"
"D10-D36",,,"D23","Other benign neoplasms of skin"
"D10-D36",,,"D24","Benign neoplasm of breast"
"D10-D36",,,"D25","Leiomyoma of uterus"
"D10-D36",,,"D26","Other benign neoplasms of uterus"
"D10-D36",,,"D27","Benign neoplasm of ovary"
"D10-D36",,,"D28","Benign neoplasm of other and unspecified female genital organs"
"D10-D36",,,"D29","Benign neoplasm of male genital organs"
"D10-D36",,,"D30","Benign neoplasm of urinary organs"
"D10-D36",,,"D31","Benign neoplasm of eye and adnexa"
"D10-D36",,,"D32","Benign neoplasm of meninges"
"D10-D36",,,"D33","Benign neoplasm of brain and other parts of central nervous system"
"D10-D36",,,"D34","Benign neoplasm of thyroid gland"
"D10-D36",,,"D35","Benign neoplasm of other and unspecified endocrine glands"
"D10-D36",,,"D36","Benign neoplasm of other and unspecified sites"
"D37-D48",,,"D37","Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs"
"D37-D48",,,"D38","Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs"
"D37-D48",,,"D39","Neoplasm of uncertain or unknown behaviour of female genital organs"
"D37-D48",,,"D40","Neoplasm of uncertain or unknown behaviour of male genital organs"
"D37-D48",,,"D41","Neoplasm of uncertain or unknown behaviour of urinary organs"
"D37-D48",,,"D42","Neoplasm of uncertain or unknown behaviour of meninges"
"D37-D48",,,"D43","Neoplasm of uncertain or unknown behaviour of brain and central nervous system"
"D37-D48",,,"D44","Neoplasm of uncertain or unknown behaviour of endocrine glands"
"D37-D48",,,"D45","Polycythaemia vera"
"D37-D48",,,"D46","Myelodysplastic syndromes"
"D37-D48",,,"D47","Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue"
"D37-D48",,,"D48","Neoplasm of uncertain or unknown behaviour of other and unspecified sites"
"D50-D53",,,"D50","Iron deficiency anaemia"
"D50-D53",,,"D51","Vitamin B 12 deficiency anaemia"
"D50-D53",,,"D52","Folate deficiency anaemia"
"D50-D53",,,"D53","Other nutritional anaemias"
"D55-D59",,,"D55","Anaemia due to enzyme disorders"
"D55-D59",,,"D56","Thalassaemia"
"D55-D59",,,"D57","Sickle-cell disorders"
"D55-D59",,,"D58","Other hereditary haemolytic anaemias"
"D55-D59",,,"D59","Acquired haemolytic anaemia"
"D60-D64",,,"D60","Acquired pure red cell aplasia [erythroblastopenia]"
"D60-D64",,,"D61","Other aplastic anaemias"
"D60-D64",,,"D62","Acute posthaemorrhagic anaemia"
"D60-D64",,,"D63","Anaemia in chronic diseases classified elsewhere"
"D60-D64",,,"D64","Other anaemias"
"D65-D69",,,"D65","Disseminated intravascular coagulation [defibrination syndrome]"
"D65-D69",,,"D66","Hereditary factor VIII deficiency"
"D65-D69",,,"D67","Hereditary factor IX deficiency"
"D65-D69",,,"D68","Other coagulation defects"
"D65-D69",,,"D69","Purpura and other haemorrhagic conditions"
"D70-D77",,,"D70","Agranulocytosis"
"D70-D77",,,"D71","Functional disorders of polymorphonuclear neutrophils"
"D70-D77",,,"D72","Other disorders of white blood cells"
"D70-D77",,,"D73","Diseases of spleen"
"D70-D77",,,"D74","Methaemoglobinaemia"
"D70-D77",,,"D75","Other diseases of blood and blood-forming organs"
"D70-D77",,,"D76","Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue"
"D70-D77",,,"D77","Other disorders of blood and blood-forming organs in diseases classified elsewhere"
"D80-D89",,,"D80","Immunodeficiency with predominantly antibody defects"
"D80-D89",,,"D81","Combined immunodeficiencies"
"D80-D89",,,"D82","Immunodeficiency associated with other major defects"
"D80-D89",,,"D83","Common variable immunodeficiency"
"D80-D89",,,"D84","Other immunodeficiencies"
"D80-D89",,,"D86","Sarcoidosis"
"D80-D89",,,"D89","Other disorders involving the immune mechanism, not elsewhere classified"
"E00-E07",,,"E00","Congenital iodine-deficiency syndrome"
"E00-E07",,,"E01","Iodine-deficiency-related thyroid disorders and allied conditions"
"E00-E07",,,"E02","Subclinical iodine-deficiency hypothyroidism"
"E00-E07",,,"E03","Other hypothyroidism"
"E00-E07",,,"E04","Other nontoxic goitre"
"E00-E07",,,"E05","Thyrotoxicosis [hyperthyroidism]"
"E00-E07",,,"E06","Thyroiditis"
"E00-E07",,,"E07","Other disorders of thyroid"
"E10-E14",,,"E10","Type 1 diabetes mellitus"
"E10-E14",,,"E11","Type 2 diabetes mellitus"
"E10-E14",,,"E12","Malnutrition-related diabetes mellitus"
"E10-E14",,,"E13","Other specified diabetes mellitus"
"E10-E14",,,"E14","Unspecified diabetes mellitus"
"E15-E16",,,"E15","Nondiabetic hypoglycaemic coma"
"E15-E16",,,"E16","Other disorders of pancreatic internal secretion"
"E20-E35",,,"E20","Hypoparathyroidism"
"E20-E35",,,"E21","Hyperparathyroidism and other disorders of parathyroid gland"
"E20-E35",,,"E22","Hyperfunction of pituitary gland"
"E20-E35",,,"E23","Hypofunction and other disorders of pituitary gland"
"E20-E35",,,"E24","Cushing syndrome"
"E20-E35",,,"E25","Adrenogenital disorders"
"E20-E35",,,"E26","Hyperaldosteronism"
"E20-E35",,,"E27","Other disorders of adrenal gland"
"E20-E35",,,"E28","Ovarian dysfunction"
"E20-E35",,,"E29","Testicular dysfunction"
"E20-E35",,,"E30","Disorders of puberty, not elsewhere classified"
"E20-E35",,,"E31","Polyglandular dysfunction"
"E20-E35",,,"E32","Diseases of thymus"
"E20-E35",,,"E34","Other endocrine disorders"
"E20-E35",,,"E35","Disorders of endocrine glands in diseases classified elsewhere"
"E40-E46",,,"E40","Kwashiorkor"
"E40-E46",,,"E41","Nutritional marasmus"
"E40-E46",,,"E42","Marasmic kwashiorkor"
"E40-E46",,,"E43","Unspecified severe protein-energy malnutrition"
"E40-E46",,,"E44","Protein-energy malnutrition of moderate and mild degree"
"E40-E46",,,"E45","Retarded development following protein-energy malnutrition"
"E40-E46",,,"E46","Unspecified protein-energy malnutrition"
"E50-E64",,,"E50","Vitamin A deficiency"
"E50-E64",,,"E51","Thiamine deficiency"
"E50-E64",,,"E52","Niacin deficiency [pellagra]"
"E50-E64",,,"E53","Deficiency of other B group vitamins"
"E50-E64",,,"E54","Ascorbic acid deficiency"
"E50-E64",,,"E55","Vitamin D deficiency"
"E50-E64",,,"E56","Other vitamin deficiencies"
"E50-E64",,,"E58","Dietary calcium deficiency"
"E50-E64",,,"E59","Dietary selenium deficiency"
"E50-E64",,,"E60","Dietary zinc deficiency"
"E50-E64",,,"E61","Deficiency of other nutrient elements"
"E50-E64",,,"E63","Other nutritional deficiencies"
"E50-E64",,,"E64","Sequelae of malnutrition and other nutritional deficiencies"
"E65-E68",,,"E65","Localized adiposity"
"E65-E68",,,"E66","Obesity"
"E65-E68",,,"E67","Other hyperalimentation"
"E65-E68",,,"E68","Sequelae of hyperalimentation"
"E70-E90",,,"E70","Disorders of aromatic amino-acid metabolism"
"E70-E90",,,"E71","Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism"
"E70-E90",,,"E72","Other disorders of amino-acid metabolism"
"E70-E90",,,"E73","Lactose intolerance"
"E70-E90",,,"E74","Other disorders of carbohydrate metabolism"
"E70-E90",,,"E75","Disorders of sphingolipid metabolism and other lipid storage disorders"
"E70-E90",,,"E76","Disorders of glycosaminoglycan metabolism"
"E70-E90",,,"E77","Disorders of glycoprotein metabolism"
"E70-E90",,,"E78","Disorders of lipoprotein metabolism and other lipidaemias"
"E70-E90",,,"E79","Disorders of purine and pyrimidine metabolism"
"E70-E90",,,"E80","Disorders of porphyrin and bilirubin metabolism"
"E70-E90",,,"E83","Disorders of mineral metabolism"
"E70-E90",,,"E84","Cystic fibrosis"
"E70-E90",,,"E85","Amyloidosis"
"E70-E90",,,"E86","Volume depletion"
"E70-E90",,,"E87","Other disorders of fluid, electrolyte and acid-base balance"
"E70-E90",,,"E88","Other metabolic disorders"
"E70-E90",,,"E89","Postprocedural endocrine and metabolic disorders, not elsewhere classified"
"E70-E90",,,"E90","Nutritional and metabolic disorders in diseases classified elsewhere"
"F00-F09",,,"F00","Dementia in Alzheimer disease"
"F00-F09",,,"F01","Vascular dementia"
"F00-F09",,,"F02","Dementia in other diseases classified elsewhere"
"F00-F09",,,"F03","Unspecified dementia"
"F00-F09",,,"F04","Organic amnesic syndrome, not induced by alcohol and other psychoactive substances"
"F00-F09",,,"F05","Delirium, not induced by alcohol and other psychoactive substances"
"F00-F09",,,"F06","Other mental disorders due to brain damage and dysfunction and to physical disease"
"F00-F09",,,"F07","Personality and behavioural disorders due to brain disease, damage and dysfunction"
"F00-F09",,,"F09","Unspecified organic or symptomatic mental disorder"
"F10-F19",,,"F10","Mental and behavioural disorders due to use of alcohol"
"F10-F19",,,"F11","Mental and behavioural disorders due to use of opioids"
"F10-F19",,,"F12","Mental and behavioural disorders due to use of cannabinoids"
"F10-F19",,,"F13","Mental and behavioural disorders due to use of sedatives or hypnotics"
"F10-F19",,,"F14","Mental and behavioural disorders due to use of cocaine"
"F10-F19",,,"F15","Mental and behavioural disorders due to use of other stimulants, including caffeine"
"F10-F19",,,"F16","Mental and behavioural disorders due to use of hallucinogens"
"F10-F19",,,"F17","Mental and behavioural disorders due to use of tobacco"
"F10-F19",,,"F18","Mental and behavioural disorders due to use of volatile solvents"
"F10-F19",,,"F19","Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances"
"F20-F29",,,"F20","Schizophrenia"
"F20-F29",,,"F21","Schizotypal disorder"
"F20-F29",,,"F22","Persistent delusional disorders"
"F20-F29",,,"F23","Acute and transient psychotic disorders"
"F20-F29",,,"F24","Induced delusional disorder"
"F20-F29",,,"F25","Schizoaffective disorders"
"F20-F29",,,"F28","Other nonorganic psychotic disorders"
"F20-F29",,,"F29","Unspecified nonorganic psychosis"
"F30-F39",,,"F30","Manic episode"
"F30-F39",,,"F31","Bipolar affective disorder"
"F30-F39",,,"F32","Depressive episode"
"F30-F39",,,"F33","Recurrent depressive disorder"
"F30-F39",,,"F34","Persistent mood [affective] disorders"
"F30-F39",,,"F38","Other mood [affective] disorders"
"F30-F39",,,"F39","Unspecified mood [affective] disorder"
"F40-F48",,,"F40","Phobic anxiety disorders"
"F40-F48",,,"F41","Other anxiety disorders"
